color,colorhex,colorcount
customhexT2-6-ffff99,#ffff99,1
customhexT2-7-08b07c,#08b07c,1
customhexT2-8-bf5700,#bf5700,1
customhexT2-9-39c8ff,#39c8ff,1
customhexT2-10-ffb2b2,#ffb2b2,1
customhexT2-11-ff4500,#ff4500,1
customhexT2-12-b71513,#b71513,1
customhexT2-13-200ce4,#200ce4,1
customhexT2-14-ffbdfb,#ffbdfb,1
customhexT2-15-9a3b2a,#9a3b2a,1
customhexT2-16-af1e2c,#af1e2c,1
customhexT2-17-0b2ebc,#0b2ebc,1
customhexT2-18-5bdb99,#5bdb99,1
customhexT2-19-030303,#030303,1
customhexT2-20-373a77,#373a77,1
customhexT2-21-6b008c,#6b008c,1
customhexT2-22-ceff00,#ceff00,1
customhexT2-23-e17fb2,#e17fb2,1
customhexT2-24-228b22,#228b22,1
customhexT2-25-836e5b,#836e5b,1
customhexT2-26-523138,#523138,1
customhexT2-27-12362b,#12362b,1
customhexT2-28-ff8888,#ff8888,1
customhexT2-29-00b4ff,#00b4ff,1
customhexT2-30-b87c65,#b87c65,1
customhexT2-31-e98b76,#e98b76,1
customhexT2-32-ffcf05,#ffcf05,1
customhexT2-33-ba5b22,#ba5b22,1
customhexT2-34-8b0000,#8b0000,1
customhexT2-35-9932cd,#9932cd,1
customhexT2-36-4aff01,#4aff01,1
customhexT2-37-6f00ff,#6f00ff,1
customhexT2-38-ff9b00,#ff9b00,1
customhexT2-39-ffa71a,#ffa71a,1
